SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
513729,ARO GRANITE ,B ,Q,42.95,43.00,41.00,41.10,41.20,43.00,87,4699,195346.00,
514010,HIM.FIBRES  ,XT,Q,2.37,2.37,2.37,2.37,2.37,2.41,3,40,94.00,
514028,RAJKAMAL SYN,XT,Q,5.95,5.95,5.95,5.95,5.95,5.97,3,19076,113502.00,
514030,DEEPAK SPINN,X ,Q,98.00,98.95,93.05,94.75,94.75,96.85,65,5073,487064.00,
514034,JBF IND.LTD ,B ,Q,13.88,13.88,13.73,13.88,13.88,12.62,351,268720,3726692.00,
514036,LOY.TEX MILL,X ,Q,481.00,482.00,481.00,481.10,481.00,480.00,8,167,80339.00,
514043,HIMAT.SEIDE ,A ,Q,155.25,155.30,149.90,150.45,150.25,155.60,1067,45424,6926408.00,
514045,BSL LTD.    ,B ,Q,35.70,35.70,33.50,34.05,34.05,34.60,37,5941,203792.00,
514087,PBM POLYTEX ,X ,Q,50.50,54.35,50.50,54.35,54.35,52.80,4,209,10591.00,
514113,ADHINATH TEX,XT,Q,3.30,3.30,3.24,3.24,3.24,3.30,4,3411,11052.00,
514138,SURYALATA SP,XT,Q,136.00,136.90,130.00,135.95,135.95,130.60,7,377,50718.00,
514140,SURYAVA SPIN,X ,Q,8.04,8.04,8.04,8.04,8.04,8.20,4,900,7236.00,
514142,TT LTD.     ,B ,Q,48.50,48.55,48.00,48.00,48.00,48.00,12,325,15717.00,
514162,WELSPUN (I) ,A ,Q,80.00,81.40,78.25,78.95,78.90,80.75,413,56223,4468568.00,
514165,IND.ACRYLICS,X ,Q,10.63,10.65,10.10,10.20,10.20,10.40,268,29597,304391.00,
514167,GANESH ECOSP,B ,Q,592.45,592.45,560.00,565.00,565.00,592.50,659,5027,2880127.00,
514171,CEETA IND.  ,XT,Q,9.14,9.14,9.14,9.14,9.14,8.97,5,573,5237.00,
514175,VARDHMAN POL,B ,Q,19.70,20.05,18.75,18.75,18.75,19.70,166,22886,434351.00,
514183,BLA ROS IND ,X ,Q,164.00,165.00,151.10,153.45,153.45,162.10,1435,92028,14571381.00,
